Category,Question
quality of food and beverages,How do restaurants improve the quality of food and beverages provided?
order accuracy,How do restaurants improve their accuracy of orders?
service accompaniments,"How do restaurants improve their service accompaniments provided (plates, glassware, cutlery, etc.)?"
reservation services,"How do restaurants improve the quality of service provided by Special Functions staff (making reservations, etc.)?"
portion size,How do restaurants improve their portion size?
flavor,How do restaurants improve the flavor of dishes?
presentation,How do restaurants improve their presentation of dishes?
Cleanliness,How do restaurants maintain a clean space?
wait time,How do restaurants improve their wait time for food service?
atmosphere,How do restaurants improve their atmosphere?